drone_id,waypoint,north_m,east_m,target_lat,target_lon,time_to_reach_s,straight_line_distance_m,path_distance_m,path_efficiency,reached,gps_degraded,vibration_z_max,clipping_max
drone2,1,-10.0,-10.0,-35.36336,149.165158,3.14,14.14,12.72,0.934,True,False,,
drone2,2,10.0,-10.0,-35.36318,149.165158,4.71,19.42,24.84,0.686,True,False,,
drone2,3,10.0,10.0,-35.36318,149.165378,4.19,19.71,20.2,0.891,True,False,,
drone2,4,-10.0,10.0,-35.36336,149.165378,3.93,19.42,20.6,0.807,True,False,,
drone2,5,-10.0,-10.0,-35.36336,149.165158,4.45,19.75,21.2,0.851,True,False,,
